hour_idx,hour_start_utc,hour_end_utc,n_retweets,phase_id,phase_label
295,2022-01-06 22:00:00+0000,2022-01-06 23:00:00+0000,1,4,phase_4
296,2022-01-06 23:00:00+0000,2022-01-07 00:00:00+0000,0,4,phase_4
297,2022-01-07 00:00:00+0000,2022-01-07 01:00:00+0000,0,4,phase_4
298,2022-01-07 01:00:00+0000,2022-01-07 02:00:00+0000,0,4,phase_4
299,2022-01-07 02:00:00+0000,2022-01-07 03:00:00+0000,0,4,phase_4
300,2022-01-07 03:00:00+0000,2022-01-07 04:00:00+0000,0,4,phase_4
301,2022-01-07 04:00:00+0000,2022-01-07 05:00:00+0000,1,4,phase_4
302,2022-01-07 05:00:00+0000,2022-01-07 06:00:00+0000,0,4,phase_4
303,2022-01-07 06:00:00+0000,2022-01-07 07:00:00+0000,0,4,phase_4
304,2022-01-07 07:00:00+0000,2022-01-07 08:00:00+0000,0,4,phase_4
305,2022-01-07 08:00:00+0000,2022-01-07 09:00:00+0000,0,4,phase_4
306,2022-01-07 09:00:00+0000,2022-01-07 10:00:00+0000,0,4,phase_4
307,2022-01-07 10:00:00+0000,2022-01-07 11:00:00+0000,0,4,phase_4
308,2022-01-07 11:00:00+0000,2022-01-07 12:00:00+0000,0,4,phase_4
309,2022-01-07 12:00:00+0000,2022-01-07 13:00:00+0000,0,4,phase_4
310,2022-01-07 13:00:00+0000,2022-01-07 14:00:00+0000,0,4,phase_4
311,2022-01-07 14:00:00+0000,2022-01-07 15:00:00+0000,0,4,phase_4
312,2022-01-07 15:00:00+0000,2022-01-07 16:00:00+0000,8,5,phase_5
313,2022-01-07 16:00:00+0000,2022-01-07 17:00:00+0000,14,5,phase_5
314,2022-01-07 17:00:00+0000,2022-01-07 18:00:00+0000,9,5,phase_5
315,2022-01-07 18:00:00+0000,2022-01-07 19:00:00+0000,8,5,phase_5
316,2022-01-07 19:00:00+0000,2022-01-07 20:00:00+0000,10,5,phase_5
317,2022-01-07 20:00:00+0000,2022-01-07 21:00:00+0000,13,5,phase_5
318,2022-01-07 21:00:00+0000,2022-01-07 22:00:00+0000,10,5,phase_5
319,2022-01-07 22:00:00+0000,2022-01-07 23:00:00+0000,11,5,phase_5
320,2022-01-07 23:00:00+0000,2022-01-08 00:00:00+0000,20,5,phase_5
